Step,Action,Reward,Q[action],Average action reward,Average general reward
372,0,1.2505,2.2406,2.2406,1.8937
373,0,0.3255,2.2344,2.2344,1.8895
374,0,3.5516,2.2386,2.2386,1.8940
375,0,1.8868,2.2375,2.2375,1.8940
376,0,1.9237,2.2365,2.2365,1.8940
377,0,0.7017,2.2317,2.2317,1.8909
378,0,0.9014,2.2275,2.2275,1.8883
379,4,-0.1367,-0.6544,-0.6544,1.8829
380,0,2.8724,2.2295,2.2295,1.8855
381,0,3.7718,2.2343,2.2343,1.8905
382,0,2.6026,2.2355,2.2355,1.8923
383,0,3.2914,2.2388,2.2388,1.8960
384,4,1.4006,-0.2434,-0.2434,1.8947
385,0,2.2381,2.2388,2.2388,1.8956
386,0,4.3221,2.2452,2.2452,1.9019
387,0,3.4265,2.2489,2.2489,1.9058
388,0,2.5427,2.2498,2.2498,1.9074
389,0,1.8635,2.2486,2.2486,1.9073
390,0,2.1464,2.2483,2.2483,1.9079
391,4,-0.8998,-0.3528,-0.3528,1.9008
392,0,1.3408,2.2455,2.2455,1.8993
393,0,1.6826,2.2438,2.2438,1.8988
394,0,2.3119,2.2440,2.2440,1.8998
395,4,-1.6973,-0.5449,-0.5449,1.8907
396,0,1.0831,2.2405,2.2405,1.8887
397,0,2.8465,2.2423,2.2423,1.8911
398,0,1.4741,2.2400,2.2400,1.8901
399,0,2.1047,2.2396,2.2396,1.8906
400,0,2.6122,2.2407,2.2407,1.8924
401,3,1.0079,0.5210,0.5210,1.8902
402,0,2.8056,2.2424,2.2424,1.8925
403,0,1.8469,2.2412,2.2412,1.8924
404,0,0.6137,2.2364,2.2364,1.8892
405,0,1.4460,2.2341,2.2341,1.8881
406,5,-0.1399,-0.0376,-0.0376,1.8831
407,0,1.7486,2.2326,2.2326,1.8828
408,0,1.5173,2.2305,2.2305,1.8819
409,0,3.3313,2.2338,2.2338,1.8854
410,0,2.3866,2.2342,2.2342,1.8867
411,0,2.3297,2.2345,2.2345,1.8877
412,0,1.4392,2.2322,2.2322,1.8867
413,0,1.7431,2.2308,2.2308,1.8863
414,0,2.8402,2.2325,2.2325,1.8886
415,9,0.0883,-0.4789,-0.4789,1.8843
416,0,1.7046,2.2310,2.2310,1.8839
417,0,2.6469,2.2322,2.2322,1.8857
418,3,1.2109,0.6072,0.6072,1.8841
419,5,1.7929,0.1455,0.1455,1.8838
420,0,1.2998,2.2295,2.2295,1.8825
421,0,2.0734,2.2291,2.2291,1.8829
422,0,3.8032,2.2336,2.2336,1.8875
